testfile,bytes,words,unique words,time (ms),nˆ2,n*m,lg(n*m), (n*m)*lg(n*m)
word.txt,7,1,1,25,1,1,0,0
tiny.txt,238,38,29,16,1444,1102,10,11020
small.txt,20422,2308,233,48,5326864,537764,19,10217516
MetaMorph.txt,141449,22128,2967,77,489648384,65653776,25,1641344400
Species.txt,1292498,174145,8991,212,30326481025,1565737695,30,46972130850
